"id";"eng_title";"orig_title";"year";"runtime";"stars";"director";"creator";"plot";"imdb";"rating";"douban";"mtime";"trailer";"featurette";"status";"category";"poster";"subtitle";"prod";"comments"
"1525412612146";"Cleo From 5 To 7";"Cléo de 5 à 7";"1962";"1h 30min";"";"Agnès Varda";"";"Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor.";"tt0055852";"8.0";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BZjJhNGIyZWMtOTE0NS00M2RmLWIwOTEtYzdmYWM3ZTE5NjM0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612148";"And Woman... Was Created";"And God Created Woman";"1956";"1h 35min";"";"Roger Vadim";"";"In sunny St. Tropez, a young sexpot loves one brother but marries the other.";"tt0049189";"6.3";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMDA4Mjc0Nl5BMl5BanBnXkFtZTgwMzgwODgxNDE@._V1_UY268_CR8,0,182,268_AL_.jpg";"";"";""
"1525412612151";"The Miracle Worker";"";"1962";"1h 46min";"";"Arthur Penn";"";"The story of Anne Sullivan's struggle to teach the blind and deaf Helen Keller how to communicate.";"tt0056241";"8.1";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzODc4MTE1MF5BMl5BanBnXkFtZTcwMjYyODI1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612153";"Jason and The Argonauts";"";"1963";"1h 44min";"";"Don Chaffey";"";"The legendary Greek hero leads a team of intrepid adventurers in a perilous quest for the legendary Golden Fleece.";"tt0057197";"7.4";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BN2NiMWEwZmYtNGIzNi00NjllLTg0ZTUtODQ0MDgwMGZkZWE2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612155";"Band of Outsiders";"";"1964";"1h 35min";"";"Jean-Luc Godard";"";"Two crooks with a fondness for old Hollywood B-movies convince a languages student to help them commit a robbery.";"tt0057869";"7.8";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyOTA0Njk3Ml5BMl5BanBnXkFtZTgwMzY0NTA2ODE@._V1_UY268_CR4,0,182,268_AL_.jpg";"";"";""
"1525412612158";"Becket";"";"1964";"2h 28min";"";"Peter Glenville";"";"King Henry II of England comes to terms with his affection for his close friend and confidant Thomas à Becket, who finds his true honor by observing God's divine will rather than the king's.";"tt0057877";"8.0";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMzQwODUzOTM2N15BMl5BanBnXkFtZTgwNzU4ODYxMTE@._V1_UY268_CR10,0,182,268_AL_.jpg";"";"";""
"1525412612160";"First Men in the Moon";"";"1964";"1h 43min";"";"Nathan Juran";"";"When a spaceship lands on the moon, it is hailed as a new accomplishment, before it becomes clear that a Victorian party completed the journey in 1899, leading investigators to that mission's last survivor.";"tt0058100";"6.7";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BZDU5ZDZiZjAtNmVhYS00ZjViLTgwMGItYzMwYzA5Yjg3MWU0XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612162";"Kwaidan";"怪談, かいだん";"1964";"3h 3min";"";"Masaki Kobayashi";"";"A collection of four Japanese folk tales with supernatural themes.";"tt0058279";"8.0";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BZmM1ZmRkMjItZjc3Ny00ZWQzLWFhYmUtMWE0Y2QwOWY0MTMxXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_UY268_CR3,0,182,268_AL_.jpg";"";"";""
"1525412612164";"Onibaba";"鬼婆, おにばば";"1964";"1h 43min";"";"Kaneto Shindô";"";"Two women kill samurai and sell their belongings for a living. While one of them is having an affair with their neighbor, the other woman meets a mysterious samurai wearing a bizarre mask.";"tt0058430";"8.0";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMWRiYmNmNTEtM2FlNC00ODRlLWFiMmQtYmNlNzgxY2MzMzNkL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR2,0,182,268_AL_.jpg";"";"";""
"1525412612167";"The Collector";"";"1965";"1h 59min";"";"William Wyler";"";"A man kidnaps a woman and holds her hostage just for the pleasure of having her there.";"tt0059043";"7.6";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTFjY2NmNDMtZWJmNS00MTE0LTlhYmEtYTdjMWFjMDBiZjMzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612172";"The Face of Another";"他人の顔 (たにんのかお)";"1966";"2h 2min";"";"Hiroshi Teshigahara";"";"A businessman with a disfigured face obtains a lifelike mask from his doctor, but the mask starts altering his personality.";"tt0061065";"8.0";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BYjNmMWM4MjMtNGQ1YS00MWRjLTg4ZDktZjRlYjM5N2IwMTU5XkEyXkFqcGdeQXVyNTc1OTc3ODE@._V1_UY268_CR4,0,182,268_AL_.jpg";"";"";""
"1525412612175";"Cool Hand Luke";"";"1967";"2h 6min";"";"Stuart Rosenberg";"";"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.";"tt0061512";"8.2";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BOWFlNzZhYmYtYTI5YS00MDQyLWIyNTUtNTRjMWUwNTEzNjA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612178";"Je t'aime, je t'aime";"";"1968";"1h 34min";"";"Alain Resnais";"";"Recovering from an attempted suicide, a man is selected to participate in a time travel experiment that has only been tested on mice. A malfunction in the experiment causes the man to ... See full summary »";"tt0063152";"7.3";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODkzNjE3MF5BMl5BanBnXkFtZTgwMDA1NDEyMTE@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612180";"The Valley of Gwangi";"";"1969";"1h 36min";"";"Jim O'Connolly";"";"Cowboy James Franciscus seeks fame and fortune by capturing a Tyrannosaurus Rex living in the Forbidden Valley and putting it in a Mexican circus. His victim, called the Gwangi, turns out ... See full summary »";"tt0065163";"6.3";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BYWNlNjk0MTAtMjExYi00Yjc4LWEyNzEtZjlkYjllNjNkMzliXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
"1525412612182";"Z";"";"1969";"2h 7min";"";"Costa-Gavras";"";"Following the murder of a prominent leftist, an investigator tries to uncover the truth while government officials attempt to cover up their roles.";"tt0065234";"8.2";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BM2JjM2MwMDAtNGRhMi00MDZiLWIwMzYtYTZmMTc0MDU1ZWU5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR6,0,182,268_AL_.jpg";"";"";""
"1525412612184";"10 Rillington Place";"";"1971";"1h 51min";"";"Richard Fleischer";"";"Based on the real-life case of the British serial killer John Christie, and what happened to his neighbors Tim and Beryl Evans.";"tt0066730";"7.6";"";"";"";"";"1";"Movies";"https://images-na.ssl-images-amazon.com/images/M/MV5BYzc4NDVlYWEtNjAzOC00NWNkLTkxMDQtOWVkOGExNDAyMDFhXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg";"";"";""
